Gene	ADHD	AD	AF	BP	CD	Celiac	CAD	DrinkWeek	FG	GRT	IBD	Insomnia	Intel	SLE	MDD	MS	PBC	ReactionTime	RA	SCZ	SleepDuration	SWB	T1D	T2D	UC	VNR	Worry	ALT	ALP	TC	Glucose	HbA1c	HDL	LDL	SHBG	TST	TBIL	TP	TG	EOS	LYM	MCH	MONO	PLT	RDW	RBC	WBC	BMD-HT	Balding	BMI	Height	WHR	DBP	SBP	BreastCancer	ECOL	EY	Smoking	AIT	Eczema	ASM	CVD	HTN	HT	RR-ENT	BMR	FEVi/FvC	FVC	NRT	MorningPerson	HAIR	MNR	MNP	NCH
A1BG	0	0.063934416	0	0	0	0.04312189	0.043876566	0	0.04430723	0	0	0	0	0.046420116	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034857586	0	0.050762992	0	0	0.056896526	0.05129271	0.043076247	0	0.03354383	0	0.044476487	0	0	0	0	0.07836124	0.045167394	0.040264007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036177054	0	0	0
A2M	0	0	0	0.054456905	0.12915789	0.07440222	0.088799484	0	0.046951476	0	0.11376243	0.07579314	0.07659285	0.058798477	0	0.11194356	0.08174191	0	0.039511364	0	0.07723267	0	0	0	0	0	0.09280412	0.07342783	0.041818034	0.051493984	0.048630655	0	0	0.03949775	0.05024591	0.022046521	0.035932615	0.06569199	0	0.083796486	0.076037996	0	0.05990385	0.07438032	0.04229725	0	0.08010667	0.078616455	0	0	0	0	0	0	0	0	0	0	0.06608272	0.093624786	0.055909153	0.057022665	0.07091239	0.08024343	0.06881586	0	0	0	0	0.09822525	0.07417594	0.054547556	0	0.070824206
A4GALT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06454814	0.044976503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AACS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038647402	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029492185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAGAB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04777189	0	0	0	0.046633936	0	0	0	0	0	0	0	0	0
AAK1	0.07399512	0	0.14518295	0.058876082	0	0.060155522	0.058054518	0.058969352	0	0.13274267	0	0.098880626	0.13067862	0.031033427	0.13879542	0	0	0.14892735	0	0.15474078	0.11575596	0.21210733	0	0.038630076	0	0.10622666	0.12491827	0.04755675	0	0	0.060258783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14392297	0.12956245	0.15830126	0.025048114	0	0.13663282	0.13638794	0.10286655	0.15202801	0.14330688	0.14704928	0	0.06703166	0.0658268	0.07397465	0.10897976	0.06265934	0.09019705	0.14000583	0.18290567	0.1593436	0.13292132	0.16294001	0.059103847	0.08978625	0	0.13264452
AAMP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.064221926	0	0	0	0.0468468	0	0	0.07062368	0	0	0	0	0.025906371	0	0.060187824	0	0	0	0	0.057005383	0.06517322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AASS	0	0	0	0	0	0	0	0.046490114	0	0.11517618	0	0	0	0	0.10162271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07377546	0	0	0	0	0.09977947	0	0	0	0	0	0	0	0	0.08937466	0	0	0	0	0	0	0.058558807	0
ABCA1	0.064826645	0	0.13941224	0	0	0.048395924	0	0.09191185	0	0.1664078	0	0.05373569	0.10181629	0	0.15816161	0	0	0.13080484	0	0.15047906	0.1031283	0.22887836	0	0	0	0.08743295	0.12723488	0.07101683	0	0	0.047588818	0	0	0	0	0	0	0.0469565	0	0.06824689	0.045677334	0	0.06754277	0	0	0	0.046631433	0.15044506	0.16526538	0.15803327	0	0.086534776	0.13015452	0.13352051	0.12373153	0.14218199	0.15574591	0.1785026	0	0.096819796	0.06479513	0.07994314	0.11919459	0.061462767	0.08190302	0.14008392	0.15825832	0.15343286	0.15202124	0.16204612	0.036108535	0.09512507	0.041194648	0.11236175
