ID,ActFB,apCAF,CycFB,CytFB,DerFB,DevFB,EpiFB,FCC,FCPC,iCAF,LipFB,MetFB,myoCAF,PapFB,ProFB,UniFB
TCGA.AA.3542.01,0.274399188,-0.629639675,0.531221497,-0.527468792,0.477972936,0.199050964,0.25962685,0.256512102,0.377158802,0.430948586,-0.267524925,-0.00066008,-0.100276418,-0.478271125,-0.485820734,-0.055702107
TCGA.DF.A2KU.01,0.314950615,-0.62820924,0.49727236,-0.52371712,0.376323684,-0.007275389,0.275215438,0.078200798,0.29374647,0.301509658,-0.339813632,-0.080909517,-0.192259933,-0.46835304,-0.533274183,-0.229011232
TCGA.A5.A2K3.01,0.419890569,-0.59625102,0.538838537,-0.520631969,0.502865518,0.151400547,0.269074547,0.388621232,0.498843706,0.513247295,-0.349502535,-0.041794432,-0.119178194,-0.483442332,-0.473467977,0.172433464
TCGA.CN.A6V1.01,0.161123191,-0.604497591,0.32396218,-0.513663758,0.378194483,-0.087465642,0.037493273,0.050974987,0.201584129,0.322716931,-0.37125158,-0.159522508,-0.322170331,-0.502574897,-0.499544728,-0.153322402
TCGA.FF.A7CW.01,0.138779539,-0.541437415,0.439907279,-0.508232274,0.439772855,-0.164727021,-0.011252023,0.255600988,0.157199729,0.376639571,-0.36006912,-0.233002774,-0.364801769,-0.501796564,-0.447400144,-0.261313833
TCGA.FF.8047.01,0.197275193,-0.528028855,0.47485562,-0.50385236,0.411345648,-0.017147636,0.036338149,0.191541983,0.155065484,0.332297668,-0.317616528,-0.204861324,-0.315378809,-0.482519574,-0.461696005,-0.206276826
TCGA.FA.8693.01,0.430172696,-0.549321601,0.608329193,-0.503271851,0.543298256,0.208189776,0.062594247,0.454582061,0.478813236,0.518006416,-0.361633668,-0.123609819,-0.222641202,-0.482615496,-0.43894902,0.243221508
TCGA.13.0801.01,0.358447211,-0.593283132,0.530586159,-0.502650885,0.489313934,0.291860003,0.205526134,0.30955812,0.411382467,0.453595723,-0.283628004,-0.026922109,-0.146554127,-0.464223173,-0.460528012,0.054936324
TCGA.FF.8046.01,0.29653809,-0.569764696,0.544720748,-0.502527443,0.505348266,0.078191323,0.07370573,0.349180382,0.371421191,0.468657402,-0.315868227,-0.139606294,-0.250282523,-0.500500586,-0.452406,0.060065827
TCGA.FU.A23K.01,0.377498836,-0.571672416,0.588430205,-0.501269147,0.518493374,0.055079796,0.307038923,0.406191323,0.457530979,0.473884626,-0.277699478,-0.045138629,-0.081404361,-0.454826398,-0.453671487,0.024555706
TCGA.H5.A2HR.01,0.324204657,-0.629178388,0.570366312,-0.501190993,0.4957772,0.136177919,0.290712994,0.223333882,0.324606108,0.415159723,-0.28380754,-0.056193844,-0.152538704,-0.466496261,-0.50247861,-0.158623646
TCGA.FF.8042.01,0.257747243,-0.564852486,0.472201391,-0.500363386,0.446081389,-0.060211725,0.070526793,0.29971874,0.342281596,0.410934982,-0.321928141,-0.153002401,-0.294033505,-0.503723173,-0.460280438,0.004108002
TCGA.C5.A7UI.01,0.304759637,-0.592587989,0.458712529,-0.499713337,0.428310295,0.047999104,0.196179105,0.359580443,0.424199946,0.402326895,-0.320806821,-0.061631432,-0.18447739,-0.488647759,-0.471790201,-0.087551947
TCGA.D1.A2G0.01,0.15688077,-0.576917861,0.534695091,-0.498493605,0.373231339,0.003479752,0.156793456,0.238073729,0.097902697,0.152483491,-0.293438561,-0.140034031,-0.26845226,-0.462435873,-0.395111979,-0.392072515
TCGA.FF.8062.01,0.314316883,-0.574025321,0.502463268,-0.498259684,0.490270601,0.057081591,0.119322962,0.35705426,0.37334289,0.477018872,-0.325831329,-0.109462958,-0.238984837,-0.478186577,-0.452801554,0.038696599
TCGA.4X.A9F9.01,0.199472015,-0.557891523,0.493071965,-0.496827487,0.486123974,-0.037697894,0.040052009,-0.006502584,0.19877078,0.431689346,-0.330786886,-0.189007449,-0.255271331,-0.458654068,-0.506732262,-0.20568382
TCGA.GC.A6I3.01,0.280636385,-0.608529588,0.477156538,-0.495335934,0.381401099,0.011708019,0.271193016,0.129424339,0.326860179,0.377128925,-0.291826534,-0.057104766,-0.208689775,-0.473057135,-0.511008354,-0.081556226
TCGA.SL.A6J9.01,0.269470719,-0.620582892,0.488742346,-0.493780045,0.403242831,0.117831356,0.223486348,0.180323882,0.248150916,0.322990231,-0.263173938,-0.025922418,-0.253010572,-0.473513462,-0.46870354,-0.181511132
TCGA.XU.AAXY.01,0.160562843,-0.557840273,0.46153389,-0.493548154,0.458069436,-0.115528065,0.037827883,-0.048808357,0.132211762,0.416023405,-0.327472919,-0.190053799,-0.256676855,-0.472151345,-0.507932084,-0.261433313
TCGA.N9.A4Q7.01,0.338286086,-0.593367364,0.5133783,-0.493454825,0.503569427,-0.034352338,0.229684592,0.301366675,0.307606936,0.393122194,-0.290217375,-0.090844082,-0.285118049,-0.488141415,-0.465022377,-0.209045759
TCGA.TN.A7HL.01,0.312299425,-0.574162078,0.422809279,-0.492068541,0.487382276,-0.034880941,0.214128212,0.463974634,0.445746419,0.417139767,-0.335653686,-0.031928808,-0.19486531,-0.461570849,-0.41444137,0.023239011
TCGA.QS.A5YR.01,0.335954015,-0.60666947,0.500032769,-0.491978324,0.402634577,0.026437505,0.37463055,0.136511435,0.374000434,0.375149654,-0.334971208,-0.052792901,-0.19769462,-0.453536232,-0.527547133,-0.04573088
TCGA.AZ.4681.01,0.234024054,-0.578884776,0.409714008,-0.491772504,0.435368244,0.204836381,0.254638699,0.19588166,0.283009441,0.32713644,-0.227402501,0.067580439,-0.040340793,-0.443628021,-0.441167684,-0.009931877
TCGA.GR.A4D6.01,0.229582783,-0.547034268,0.432597815,-0.491696735,0.476072692,-0.055306228,0.07252552,0.084671997,0.249741423,0.443729904,-0.293115587,-0.159155254,-0.231539149,-0.472707667,-0.490753743,-0.157320721
TCGA.VS.A9UD.01,0.194683194,-0.595151476,0.318312533,-0.491354293,0.023673917,0.018167136,0.143700411,0.186763756,0.264816653,-0.025992501,-0.335352831,-0.051036187,-0.279191522,-0.475857872,-0.454954874,-0.18312849
TCGA.G8.6906.01,0.337905275,-0.533112767,0.518852048,-0.489989025,0.504818576,0.089195053,0.106784648,0.318585958,0.385652414,0.463630951,-0.309816877,-0.139585797,-0.244614974,-0.483894732,-0.465322391,-0.032592597
TCGA.GR.7351.01,0.408430117,-0.550272465,0.565376937,-0.489158554,0.551206518,0.133957156,0.154590522,0.428860359,0.44994751,0.508153055,-0.274263021,-0.075893225,-0.17974837,-0.475518779,-0.439180166,0.125262951
TCGA.EY.A5W2.01,0.386593004,-0.616029319,0.547970994,-0.487340134,0.458914645,0.132602572,0.332590106,0.172989208,0.345272356,0.414985615,-0.250319689,0.00365527,-0.119462412,-0.431438918,-0.477003713,-0.063171311
TCGA.AJ.A3BD.01,0.305322277,-0.613167882,0.485277918,-0.487199669,0.414770629,0.055964381,0.331298207,0.125991007,0.319099319,0.303545744,-0.275170973,-0.014675481,-0.153268417,-0.449073871,-0.49021389,-0.163106687
