Genes	ActFB	apCAF	CycFB	CytFB	DerFB	DevFB	EpiFB	FCC	FCPC	iCAF	LipFB	MetFB	myoCAF	PapFB	ProFB	UniFB
CTHRC1	3.407557231	-0.233112171	0.552956227	0.1113477	-0.664267551	-0.862047848	-0.100276488	0.019429661	0.656485084	-0.5582633	-0.337213925	-0.121502375	-0.422310046	-0.34964752	-0.700379231	-0.39875545
MDK	1.879304838	-0.674491215	1.975800304	-0.652670231	-0.503587004	-0.018314194	1.848011699	-0.30550428	0.55898863	-0.341758328	-0.744637196	-0.72586607	-0.494136339	-0.386415182	-0.797500628	-0.617224803
TPM2	2.00889611	-0.523674382	0.251377319	-0.790883246	-0.207391708	-0.609457508	0.221621546	-0.017018494	0.704458267	-0.401224679	-0.561713726	-0.911343931	2.588867361	-0.510060362	-0.619431963	-0.623020605
COL1A1	1.873582863	0.89758866	2.665030035	-0.581493181	-0.643366715	-0.712885834	-0.165760839	-0.23248641	0.39509406	-0.413102269	-0.700246697	-0.552154368	-0.603118367	-0.447044701	-0.743625391	-0.036010848
MMP23B	3.055125705	-0.292479183	-0.2816472	0.82653699	-0.694978422	-0.937465041	-0.769446064	-0.290522053	0.956858315	-0.356728327	-0.411739351	0.715037005	-0.02884452	-0.464956339	-0.908717728	-0.116033786
BGN	2.685779908	-0.271583163	-0.202365616	-0.286217342	-0.933198621	-0.953705964	-0.21814215	0.068734296	1.194132354	0.13516121	-0.949568287	-0.848510942	1.462772535	0.079718635	-0.683506516	-0.279500338
ACTA2	0.929787149	-0.179504236	-0.049110501	-0.513036212	-0.343393234	-0.1215701	-0.180680631	-0.371389708	-0.012518957	-0.38974414	-0.496297674	-0.494805457	3.509553309	-0.339579551	-0.543944845	-0.40376521
NBL1	2.886225013	0.421601383	-0.550984726	-0.19977272	-1.020464238	-1.012224758	0.815729321	0.173859402	1.359880455	-0.283525692	-0.654746691	-0.179058274	-0.378821788	-0.455142404	-0.793124984	-0.129429299
ARL4C	3.194586171	-0.003101507	-0.000450569	-0.519123277	-0.627360765	-0.697651312	0.816299888	0.06896589	0.806569665	-0.459433233	-0.771382202	0.257721102	-0.67775225	-0.697480812	-0.710221998	0.019815207
TAGLN	1.169731535	-0.481721291	-0.298245957	-0.458814499	-0.394183398	-0.471972861	-0.283461837	-0.297663325	0.108340807	-0.328159917	-0.547563413	-0.326959221	3.429326086	-0.299306506	-0.405003113	-0.114343089
