Genes	Type
CTR9	Senescence
CXCR4	Senescence
KIT	Senescence
KITLG	Senescence
KLF4	Senescence
KMT2E	Senescence
KRT17	Senescence
LEO1	Senescence
LGR4	Senescence
LGR5	Senescence
LGR6	Senescence
CXXC5	Senescence
CXXC6	Senescence
DCSTAMP	Senescence
DGCR8	Senescence
DLK1	Senescence
DPF1	Senescence
DPF3	Senescence
EIF5A	Senescence
EIF5A2	Senescence
EIF5AL1	Senescence
ELAVL1	Senescence
ELL3	Senescence
ERAS	Senescence
ERF	Senescence
EZH1	Senescence
EZH2	Senescence
FES	Senescence
FOXO4	Senescence
GDF3	Senescence
GNL3	Senescence
GPM6A	Senescence
PIK3CD	Senescence
PIWIL2	Senescence
POU5F1	Senescence
PRDM14	Senescence
PRMT7	Senescence
PSCA	Senescence
PSIP1	Senescence
PSMD11	Senescence
PTPRQ	Senescence
PUM1	Senescence
PUM2	Senescence
RNF43	Senescence
RTF1	Senescence
RUNX2	Senescence
SALL4	Senescence
SMARCA2	Senescence
SMARCA4	Senescence
SMARCB1	Senescence
SMARCC1	Senescence
LIN28	Senescence
MACF1	Senescence
MELK	Senescence
METTL14	Senescence
MSI1	Senescence
MSI2	Senescence
MST1R	Senescence
MTF2	Senescence
MYO1G	Senescence
NANOS2	Senescence
NLK	Senescence
NR0B1	Senescence
NR2C1	Senescence
NR2C2	Senescence
PADI4	Senescence
PAF1	Senescence
PCGF2	Senescence
PDGFRA	Senescence
PHF10	Senescence
PHF19	Senescence
PIK3CA	Senescence
ARID1B	Senescence
ARS2	Senescence
ATAD3B	Senescence
ATG7	Senescence
BATF	Senescence
BCOR	Senescence
C20orf72	Senescence
CCR1	Senescence
CD34	Senescence
CDC73	Senescence
CDCA4	Senescence
CDCP1	Senescence
CDK2	Senescence
CDKN1A	Senescence
CENPF	Senescence
CHD1	Senescence
CHRDL1	Senescence
CRTAC1	Senescence
TACSTD1	Senescence
TBX6	Senescence
TCF7L2	Senescence
SMARCC2	Senescence
SMARCD1	Senescence
SMARCD3	Senescence
SMARCE1	Senescence
SNAI2	Senescence
SOX2	Senescence
SPRED1	Senescence
SPRED2	Senescence
STK3	Senescence
STK4	Senescence
HMCES	Senescence
HMHB1	Senescence
HMSD	Senescence
TMEM18	Senescence
TMSB4X	Senescence
TP63	Senescence
TRIM71	Senescence
ACTL6A	Senescence
ACTL6B	Senescence
ARID1A	Senescence
GSK3B	Senescence
HA-1	Senescence
HESX1	Senescence
WWP2	Senescence
WWTR1	Senescence
YLPM1	Senescence
IL11	Senescence
IL3	Senescence
JARID2	Senescence
KDR	Senescence
USP44	Senescence
WDR61	Senescence
TRNP1	Senescence
TSC	Senescence
ZNRF3	Senescence
ZFP42	Senescence
ZHX3	Senescence
ZNF281	Senescence
USP36	Senescence
AASS	Stemness
ACTG1	Stemness
NARS	Stemness
NCEH1	Stemness
NLRP7	Stemness
NANOG	Stemness
ADFP	Stemness
ADORA2B	Stemness
